Track Name,Album Name,Artist Name(s),Release Date,Popularity,Genres,Danceability,Energy,Key,Speechiness,Acousticness,Instrumentalness,Liveness,Tempo,Song Number,Message
La bohème,La Bohème,Charles Aznavour,1966,15,chanson,0.377,0.337,0,0.0341,0.808,0.0,0.238,117.316,1,"How it all started..."
Say Yes,Either/Or,Elliott Smith,1997-02-25,61,"alternative rock,indie rock,melancholia,singer-songwriter",0.501,0.0903,5,0.0509,0.866,0.000243,0.11,153.441,2,A personal favourite of mine (his best imo)
Highway,SYNFUELS,Elusin,2022-09-27,58,"cloud rap,zoomergaze",0.24,0.575,0,0.0331,0.664,0.965,0.12,89.884,3,"Hyperpop Ethel Cain? I listened to this song sooo much while driving back to school before 2nd Year"
She Belongs to Me,Bringing It All Back Home,Bob Dylan,1965-03-22,45,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter",0.729,0.382,9,0.0367,0.696,0.0,0.152,112.179,4,One of my favourite Dylan ballads
Heaven,Mirror Moves,The Psychedelic Furs,1984-03-01,43,"alternative rock,new romantic,new wave,new wave pop,post-punk",0.546,0.615,0,0.0334,0.179,3.35e-06,0.0828,137.434,5,"I've had dream where we dance to this song for hours"
Hurry Up This Way Again,Hurry Up This Way Again,The Stylistics,1980,42,"classic soul,disco,funk,motown,philly soul,quiet storm,soul",0.765,0.572,9,0.0508,0.279,0.000416,0.0669,149.829,6,Just classic soul
Supercut,Melodrama,Lorde,2017-06-16,72,"art pop,metropopolis,nz pop,pop",0.562,0.437,0,0.052,0.219,2.18e-05,0.0806,124.852,7,Perfect roadtrip song
Everywhere,Tango In the Night,Fleetwood Mac,1987-04-13,79,"album rock,classic rock,rock,soft rock,yacht rock",0.73,0.487,4,0.0303,0.258,0.01,0.0852,114.965,8,"I remmber one night I couldn't sleep, so I turned on my radio and this song was playing and I got out of bed to write down its title so I could play it again in the morning"
I Gotta Find Peace of Mind, I Gotta Find Peace of Mind,Ms. Lauryn Hill,2002-05-07,57,"alternative r&b,conscious hip hop,hip hop,neo soul,new jersey rap,r&b",0.495,0.505,7,0.409,0.813,2.01e-06,0.117,173.612,9,This song is so raw you can hear her tear up during the performance
Moon River,Moon River,Frank Ocean,2018-02-14,74,"lgbtq+ hip hop,neo soul",0.24,0.116,0,0.0329,0.877,0.00092,0.1,77.349,10,"This is a cover of the Audrey Hepburn performance in Breakfast at Tiffany's"
